Codigo,cluster
504205478,5
573606125,3
580904349,3
6807900705,7
504003261,7
6809200708,7
519705593,3
6840600724,3
5451800372,5
6829600719,7
588702284,3
1381000027,3
2366000232,5
535302381,7
585602382,7
1777700054,7
4411000280,7
565605092,3
1717400685,5
2003200315,3
7686301656,7
1354900095,3
562805107,7
6846400727,7
4725800059,3
503801538,7
530806104,3
566002277,3
586101452,3
6657200816,7
6850000728,7
7624804722,3
4403500718,7
2318200520,3
6844400726,7
569004837,7
536004339,5
540002420,7
7656304082,3
6817600712,7
1347300231,7
549004811,3
8100100077,5
507904077,3
557605929,7
564903983,3
1704200608,3
6319000522,3
6327200491,7
6330200430,7
512902146,5
2548600037,3
6645600288,7
1559900712,7
6631800799,7
7624602104,7
4485500391,7
531005015,7
566404481,3
521202308,3
6617000278,5
4409800335,7
4179700482,7
4409000227,3
7612202210,3
7082001083,7
1900100023,5
2078700289,7
4107800352,7
563102206,3
6369000502,7
5059000885,7
4137800382,7
8179400206,5
4150300480,7
6841803331,7
4167600415,7
5031300789,8
1504700599,7
2367000663,3
6854900770,7
6867300774,7
6832200784,7
6832400751,7
1582000177,8
4151800475,7
1910000114,3
6816703334,7
6882000767,7
7302600113,7
7368600301,7
7355501031,7
5235600356,5
8501000190,3
5015000838,3
843600078,7
4754100085,7
8173600067,5
5031300522,5
5000100529,5
1765300646,3
875800147,5
1800100025,5
7600103954,5
7662201709,5
1744400866,7
1761400874,3
1761600520,7
4442000396,7
5237800240,7
1522300713,7
7340800729,7
7322601043,7
7300101047,5
7686904128,7
1969800016,5
500102144,6
1700100871,3
7640001655,3
5231700660,7
2051700518,3
2025000617,3
7600105115,5
7387000770,7
2574300381,7
7661601689,3
7689204073,5
7387300686,7
7367500705,7
7040001087,7
2077000094,7
5031800018,7
5057300003,3
7623303228,3
1344200163,3
7684503265,7
5028700541,7
7067800809,3
7077100200,3
7385400464,7
2547300303,3
7361601094,7
5000600169,3
4124400452,7
7327501053,7
7306700818,7
7314800104,7
7605401652,7
7346100891,7
8500100001,5
1545500726,3
1546900823,3
1575900798,5
7341100687,5
7021500380,5
2017800568,3
1532201084,5
7340800737,3
7352001095,7
5261201394,3
6347000468,3
2000100431,5
7682302201,7
5225000974,3
7610901750,7
5283500260,5
7303001018,7
7331900990,3
7334701099,7
7348301012,7
7611301701,3
5269300351,3
7367100704,7
1701300879,3
7344301021,3
2038300453,3
7350400703,3
7316800905,5
2006000532,3
561501376,5
7304301056,7
7334900926,3
7326800794,5
7323600925,7
7624301653,7
6321200503,7
7631802027,3
7321700924,7
2023800531,3
7354700941,7
7328301040,3
7362400815,3
7603601707,3
7356300391,7
7604104065,3
6354800003,7
7610002524,7
7386100730,7
7362201039,7
7625001649,3
7637701768,3
7377000423,7
7315201042,7
7367800911,7
7335200795,7
800101335,5
7000100066,5
7600103799,5
1900100031,5
854900461,7
2000100366,3
7614700672,3
5235601503,3
503605108,7
536804833,3
7358501092,3
1969800026,8
7600103959,5
7600103956,5
7600103957,5
7600102523,3
8544000422,5
6300100460,5
1575900490,3
4724500007,3
6821100715,3
852000074,7
1518500633,8
1527600741,8
7026500994,7
7041800138,7
7050800480,7
1582200742,8
883200149,7
1324400091,8
1566000703,8
6824500755,7
4188500319,7
4179900530,7
6846800791,7
1558000813,7
6857300783,7
1560000810,8
7052301085,7
1575500776,7
5268501378,7
6820900769,7
5201901434,7
5240501543,7
7070800117,3
5238501829,7
6868600762,7
6812100759,7
7071700270,7
1584200772,7
1563200812,8
6870500788,7
1583200481,8
884900119,7
863800155,8
6827600718,3
5225601409,7
1749500887,7
1787300832,3
1744600462,7
6817900766,7
1580400271,8
4755500266,3
4166800437,3
6877000742,3
2057000236,7
500102393,3
515402201,5
5268300609,3
1800157031,3
6607500752,7
5222700321,3
814100159,7
4716100250,7
6826600764,7
537605926,3
4484700401,5
857300145,3
528202171,3
868500110,7
4113200477,3
7630602525,3
536002121,3
7673604710,3
863800154,5
1744200161,7
4139600407,5
4155100479,5
1748600463,7
1766500595,7
7689504656,5
1786700720,7
1705000691,7
1700100873,5
6300100354,5
4161500518,7
2736100077,3
5449800547,5
2055000213,3
523705948,7
8675700021,7
536404768,3
2515400077,7
1330000551,7
565902159,3
589303227,7
2017500360,3
6807700704,3
6874500740,7
2040000670,3
2044300084,7
520604780,7
1307400031,3
5426100939,3
548004916,3
532104429,7
500106086,5
510102139,3
1738800511,7
549504915,7
588502112,7
6313000403,5
513405930,7
565805591,7
1364700291,3
1305200030,3
2022800382,3
2001100126,3
1314000157,7
1318800295,7
4720500061,7
842100144,3
4746000051,7
7649701650,7
2061400328,7
4767500060,7
7071300390,7
1367300489,7
1378000062,7
2700100026,5
5487400973,3
1360000305,3
2071000005,3
1304200268,7
4134900484,7
5440501008,3
7074200350,3
4754500046,7
4766000050,7
1300600159,7
1754100878,3
1365700119,3
1366700158,7
1367000076,7
1389400026,7
4770300103,7
1365000099,7
1346800078,3
1368300232,3
1383600136,3
7689001767,3
5267800613,3
4148300388,7
4705300246,3
1368800003,3
508805618,5
8657300185,7
2062100580,3
4180700402,7
4101300301,7
4177000420,3
531504586,7
6832003332,7
531802436,3
6868400738,7
7640301647,7
1324400493,5
4437800346,7
2524500057,3
2578500060,3
4484700332,3
4407800307,3
2029500567,7
566505514,3
531305109,7
566701512,3
502105098,7
505102323,7
7636403795,3
6340100123,3
8621900017,3
526402309,7
2512600353,3
2001100572,5
6875500799,5
5481001073,3
7070800331,3
2385500671,3
8686500010,3
6359400821,3
4427900373,3
509104572,7
511305596,7
514501585,7
2573600017,3
4130600423,3
6813200752,7
1743300523,7
6814700710,7
1727200820,7
6311100048,7
585806294,3
513804914,7
4101600376,3
4718900242,5
1738000519,5
503004374,3
554306299,7
1566700804,7
2318900473,3
504405014,7
565206016,7
1540700841,7
530604477,7
2300100482,5
548305928,7
7612601703,3
564204576,3
1787700827,7
2004500439,7
6866900735,7
6885500743,7
7660602126,7
1708800584,7
2720500085,7
2531700044,3
4135900424,7
1766200119,3
2778700097,7
2380700106,3
1524400844,7
9500100001,5
2031000521,7
520905819,3
569702427,3
536104505,3
544005273,3
1700100817,5
5203600988,7
5249001485,3
7320001030,7
1326800021,7
5222400914,7
5220700926,7
2528100212,7
5256500972,7
7067001086,3
5221500902,7
1980700017,7
5228701440,7
5278801372,7
5235200407,7
5239900886,8
5221001762,7
7082301084,7
5258500933,7
5250601433,7
7011000166,7
5243500903,7
5272001059,7
5242700696,7
5232301390,7
5288501383,3
5238101502,7
5283500905,5
5232000371,7
5257300562,7
5226001436,3
6830700720,5
