Codigo,cluster
504205478,5
573606125,3
580904349,3
6807900705,4
504003261,4
6809200708,4
519705593,3
6840600724,3
5451800372,5
6829600719,4
588702284,3
1381000027,3
2366000232,5
535302381,4
585602382,4
1777700054,4
4411000280,4
565605092,3
1717400685,5
2003200315,3
7686301656,4
1354900095,3
562805107,4
6846400727,4
4725800059,3
503801538,4
530806104,3
566002277,3
586101452,3
6657200816,4
6850000728,4
7624804722,3
4403500718,4
2318200520,3
6844400726,4
569004837,4
536004339,5
540002420,4
7656304082,3
6817600712,4
1347300231,4
549004811,3
8100100077,5
507904077,3
557605929,4
564903983,3
1704200608,3
6319000522,3
6327200491,4
6330200430,4
512902146,5
2548600037,3
6645600288,4
1559900712,4
6631800799,4
7624602104,4
4485500391,4
531005015,4
566404481,3
521202308,3
6617000278,5
4409800335,4
4179700482,4
4409000227,3
7612202210,3
7082001083,4
1900100023,5
2078700289,4
4107800352,4
563102206,3
6369000502,4
5059000885,4
4137800382,4
8179400206,5
4150300480,4
6841803331,4
4167600415,4
5031300789,4
1504700599,4
2367000663,3
6854900770,4
6867300774,4
6832200784,4
6832400751,4
1582000177,4
4151800475,4
1910000114,3
6816703334,4
6882000767,4
7302600113,4
7368600301,4
7355501031,4
5235600356,5
8501000190,3
5015000838,3
843600078,4
4754100085,4
8173600067,5
5031300522,5
5000100529,5
1765300646,3
875800147,5
1800100025,5
7600103954,5
7662201709,5
1744400866,4
1761400874,3
1761600520,4
4442000396,4
5237800240,4
1522300713,4
7340800729,4
7322601043,4
7300101047,5
7686904128,4
1969800016,5
500102144,6
1700100871,3
7640001655,3
5231700660,4
2051700518,3
2025000617,3
7600105115,5
7387000770,4
2574300381,4
7661601689,3
7689204073,5
7387300686,4
7367500705,4
7040001087,4
2077000094,4
5031800018,4
5057300003,3
7623303228,3
1344200163,3
7684503265,4
5028700541,4
7067800809,3
7077100200,3
7385400464,4
2547300303,3
7361601094,4
5000600169,3
4124400452,4
7327501053,4
7306700818,4
7314800104,4
7605401652,4
7346100891,4
8500100001,5
1545500726,3
1546900823,3
1575900798,5
7341100687,5
7021500380,5
2017800568,3
1532201084,5
7340800737,3
7352001095,4
5261201394,3
6347000468,3
2000100431,5
7682302201,4
5225000974,3
7610901750,4
5283500260,5
7303001018,4
7331900990,3
7334701099,4
7348301012,4
7611301701,3
5269300351,3
7367100704,4
1701300879,3
7344301021,3
2038300453,3
7350400703,3
7316800905,5
2006000532,3
561501376,5
7304301056,4
7334900926,3
7326800794,5
7323600925,4
7624301653,4
6321200503,4
7631802027,3
7321700924,4
2023800531,3
7354700941,4
7328301040,3
7362400815,3
7603601707,3
7356300391,4
7604104065,3
6354800003,4
7610002524,4
7386100730,4
7362201039,4
7625001649,3
7637701768,3
7377000423,4
7315201042,4
7367800911,4
7335200795,4
800101335,5
7000100066,5
7600103799,5
1900100031,5
854900461,4
2000100366,3
7614700672,3
5235601503,3
503605108,4
536804833,3
7358501092,3
1969800026,4
7600103959,5
7600103956,5
7600103957,5
7600102523,3
8544000422,5
6300100460,5
1575900490,3
4724500007,3
6821100715,3
852000074,4
1518500633,4
1527600741,4
7026500994,4
7041800138,4
7050800480,4
1582200742,4
883200149,4
1324400091,4
1566000703,4
6824500755,4
4188500319,4
4179900530,4
6846800791,4
1558000813,4
6857300783,4
1560000810,4
7052301085,4
1575500776,4
5268501378,4
6820900769,4
5201901434,4
5240501543,4
7070800117,3
5238501829,4
6868600762,4
6812100759,4
7071700270,4
1584200772,4
1563200812,4
6870500788,4
1583200481,4
884900119,4
863800155,4
6827600718,3
5225601409,4
1749500887,4
1787300832,3
1744600462,4
6817900766,4
1580400271,4
4755500266,3
4166800437,3
6877000742,3
2057000236,4
500102393,3
515402201,5
5268300609,3
1800157031,3
6607500752,4
5222700321,3
814100159,4
4716100250,4
6826600764,4
537605926,3
4484700401,5
857300145,3
528202171,3
868500110,4
4113200477,3
7630602525,3
536002121,3
7673604710,3
863800154,5
1744200161,4
4139600407,5
4155100479,5
1748600463,4
1766500595,4
7689504656,5
1786700720,4
1705000691,4
1700100873,5
6300100354,5
4161500518,4
2736100077,3
5449800547,5
2055000213,3
523705948,4
8675700021,4
536404768,3
2515400077,4
1330000551,4
565902159,3
589303227,4
2017500360,3
6807700704,3
6874500740,4
2040000670,3
2044300084,4
520604780,4
1307400031,3
5426100939,3
548004916,3
532104429,4
500106086,5
510102139,3
1738800511,4
549504915,4
588502112,4
6313000403,5
513405930,4
565805591,4
1364700291,3
1305200030,3
2022800382,3
2001100126,3
1314000157,4
1318800295,4
4720500061,4
842100144,3
4746000051,4
7649701650,4
2061400328,4
4767500060,4
7071300390,4
1367300489,4
1378000062,4
2700100026,5
5487400973,3
1360000305,3
2071000005,3
1304200268,4
4134900484,4
5440501008,3
7074200350,3
4754500046,4
4766000050,4
1300600159,4
1754100878,3
1365700119,3
1366700158,4
1367000076,4
1389400026,4
4770300103,4
1365000099,4
1346800078,3
1368300232,3
1383600136,3
7689001767,3
5267800613,3
4148300388,4
4705300246,3
1368800003,3
508805618,5
8657300185,4
2062100580,3
4180700402,4
4101300301,4
4177000420,3
531504586,4
6832003332,4
531802436,3
6868400738,4
7640301647,4
1324400493,5
4437800346,4
2524500057,3
2578500060,3
4484700332,3
4407800307,3
2029500567,4
566505514,3
531305109,4
566701512,3
502105098,4
505102323,4
7636403795,3
6340100123,3
8621900017,3
526402309,4
2512600353,3
2001100572,5
6875500799,5
5481001073,3
7070800331,3
2385500671,3
8686500010,3
6359400821,3
4427900373,3
509104572,4
511305596,4
514501585,4
2573600017,3
4130600423,3
6813200752,4
1743300523,4
6814700710,4
1727200820,4
6311100048,4
585806294,3
513804914,4
4101600376,3
4718900242,5
1738000519,5
503004374,3
554306299,4
1566700804,4
2318900473,3
504405014,4
565206016,4
1540700841,4
530604477,4
2300100482,5
548305928,4
7612601703,3
564204576,3
1787700827,4
2004500439,4
6866900735,4
6885500743,4
7660602126,4
1708800584,4
2720500085,4
2531700044,3
4135900424,4
1766200119,3
2778700097,4
2380700106,3
1524400844,4
9500100001,5
2031000521,4
520905819,3
569702427,3
536104505,3
544005273,3
1700100817,5
5203600988,4
5249001485,3
7320001030,4
1326800021,4
5222400914,4
5220700926,4
2528100212,4
5256500972,4
7067001086,3
5221500902,4
1980700017,4
5228701440,4
5278801372,4
5235200407,4
5239900886,4
5221001762,4
7082301084,4
5258500933,4
5250601433,4
7011000166,4
5243500903,4
5272001059,4
5242700696,4
5232301390,4
5288501383,3
5238101502,4
5283500905,5
5232000371,4
5257300562,4
5226001436,3
6830700720,5
