cluster,id
1,5201901434
2,2575400380
3,509302371
4,5220700926
5,2575400380
6,1100130291
7,5220700926
8,1581600553
9,7334701099
10,581906123
11,531005015
12,1367000076
13,2307900552
14,7071700270
15,1566000703
16,4155100485
17,5256000237
18,6813200752
19,4760500075
20,531005015
21,7340800729
22,1367000076
23,4728800091
24,1518900596
25,1580400271
26,1587900720
27,1568600845
28,1589700665
29,1580600677
30,1553701086
31,1566400749
32,1581600553
33,1538000701
34,1510600640
35,1569600687
